coletanea;codigo;titulo;creditos
HCC;118;São de Jesus as Histórias;Parker/Martin/Challinor
HCC;120;Jesus desceu, a Bíblia o diz;McNair/M.Ferreira
HCC;121;Jesus o lar do céu deixou;Montgomery/Cram
HCC;123;A ti, hosana e glória;Orleans/Teschner
HCC;124;Morri na cruz por ti;Havergal/Bliss
HCC;125;Oh, quanto, quanto nos amou!;Alexander/R.Manuel
HCC;127;Ao contemplar a rude cruz;Watts/Mason
HCC;128;Digno é o Cordeiro;Donald Wyrtzen
HCC;130;Oh, fronte ensanguentada!;Gerhardt/Hassler/Bach
HCC;132;Rude cruz;George Bennard
HCC;134;Bem junto à cruz de Cristo;Clephane/Maker
HCC;135;Cristo já ressuscitou;Charles Wesley
HCC;136;Adoro o Cristo vivo;Alfred Ackley
HCC;137;Porque vivo está;Gaither
HCC;138;Vinde vós, fiéis, cantar;Damasceno/ Sullivan
HCC;140;Da sepultura saiu;Lowry
HCC;142;Findou-se a luta de Jesus!;Hino latino/ Minchin
HCC;144;Findou-se a luta de Jesus!;Hino latino/ P. da Palestrina
HCC;145;Hoje nos lembramos da ressurreição;Fortunatus/ Barnby
HCC;146;Sei que vive o Redentor;Neves/ Rollo
HCC;148;Jesus virá;Peterson
HCC;150;Será de manhã?;Turner/ MsGraham
HCC;152;O sertanejo, quando espera pela chuva;Almir Rosa
HCC;153;Já refulge a glória eterna de Jesus;Howe/ Hino americano séc. XIX
HCC;155;Afirmou o Senhor que virá outra vez;Hewitt/ Sweney
HCC;157;Quando Deus fizer chamada;Black
