2026-04-14 22:38:57,206 | INFO | src.louvores.cli.app | Gerando slide para hino 168 [CC] ...
2026-04-14 22:38:57,279 | INFO | louvores.services.slide_service | CC-168-CHUVAS DE BÊNÇÃOS.pptx criado em output\slides
2026-04-14 22:41:47,073 | INFO | src.louvores.cli.app | Gerando slide para hino 579 [CC] ...
2026-04-14 22:41:47,141 | INFO | louvores.services.slide_service | CC-579-OLHANDO PARA CRISTO.pptx criado em output\slides
2026-04-19 17:12:47,331 | INFO | louvores.services.stats_service | Estatísticas calculadas!
2026-04-20 10:04:43,831 | INFO | louvores.services.stats_service | Estatísticas calculadas!
2026-04-20 10:05:28,261 | INFO | louvores.services.import_service | Processando: CC.zip
2026-04-20 10:05:28,277 | INFO | louvores.services.import_service | Já possui letra: CC-001
2026-04-20 10:05:28,279 | INFO | louvores.services.import_service | Já possui letra: CC-002
2026-04-20 10:05:28,281 | INFO | louvores.services.import_service | Já possui letra: CC-003
2026-04-20 10:05:28,282 | INFO | louvores.services.import_service | Já possui letra: CC-004
2026-04-20 10:05:28,283 | INFO | louvores.services.import_service | Já possui letra: CC-005
2026-04-20 10:05:28,285 | INFO | louvores.services.import_service | Já possui letra: CC-006
2026-04-20 10:05:28,287 | INFO | louvores.services.import_service | Já possui letra: CC-007
2026-04-20 10:05:28,288 | INFO | louvores.services.import_service | Já possui letra: CC-008
2026-04-20 10:05:28,290 | INFO | louvores.services.import_service | Já possui letra: CC-009
2026-04-20 10:05:28,291 | INFO | louvores.services.import_service | Já possui letra: CC-010
2026-04-20 10:05:28,291 | INFO | louvores.services.import_service | Já possui letra: CC-227
2026-04-20 10:05:28,292 | INFO | louvores.services.import_service | Já possui letra: CC-579
2026-04-20 10:05:28,293 | INFO | louvores.services.import_service | Já possui letra: CC-013
2026-04-20 10:05:28,294 | INFO | louvores.services.import_service | Já possui letra: CC-123
2026-04-20 10:05:28,295 | INFO | louvores.services.import_service | Já possui letra: CC-168
2026-04-20 10:05:28,317 | INFO | louvores.services.import_service | Letra do hino CC-046 carregada!
2026-04-20 10:05:28,338 | INFO | louvores.services.import_service | Letra do hino CC-328 carregada!
2026-04-20 10:05:28,339 | INFO | louvores.services.import_service | Processando: HCC.zip
2026-04-20 10:05:28,343 | INFO | louvores.services.import_service | Já possui letra: HCC-001
2026-04-20 10:05:28,344 | INFO | louvores.services.import_service | Já possui letra: HCC-002
2026-04-20 10:05:28,345 | INFO | louvores.services.import_service | Já possui letra: HCC-004
2026-04-20 10:05:28,347 | INFO | louvores.services.import_service | Já possui letra: HCC-006
2026-04-20 10:05:28,349 | INFO | louvores.services.import_service | Já possui letra: HCC-008
2026-04-20 10:05:28,349 | INFO | louvores.services.import_service | Processando: HL.zip
2026-04-20 10:05:28,355 | INFO | louvores.services.import_service | Já possui letra: HL-002
2026-04-20 10:05:28,355 | INFO | louvores.services.import_service | Processando: VM.zip
2026-04-20 10:05:28,360 | INFO | louvores.services.import_service | Já possui letra: VM-018
2026-04-20 10:05:28,361 | INFO | louvores.services.import_service | Já possui letra: VM-102
2026-04-20 10:05:28,361 | INFO | louvores.services.import_service | Importação concluída!
2026-04-20 10:05:28,361 | INFO | louvores.services.import_service | total_atualizados: 2
2026-04-20 10:05:28,362 | INFO | louvores.services.import_service | total_ignorados: 23
2026-04-20 10:05:28,362 | INFO | louvores.services.import_service | total_nao_encontrados: 0
2026-04-20 10:05:37,659 | INFO | louvores.services.stats_service | Estatísticas calculadas!
2026-05-11 11:27:07,020 | INFO | louvores.services.stats_service | Estatísticas calculadas!
2026-05-15 16:54:46,314 | INFO | louvores.services.stats_service | Estatísticas calculadas!
2026-05-15 17:08:48,110 | INFO | louvores.services.import_service | Processando: CC.zip
2026-05-15 17:08:48,148 | INFO | louvores.services.import_service | Já possui letra: CC-001
2026-05-15 17:08:48,150 | INFO | louvores.services.import_service | Já possui letra: CC-002
2026-05-15 17:08:48,151 | INFO | louvores.services.import_service | Já possui letra: CC-003
2026-05-15 17:08:48,152 | INFO | louvores.services.import_service | Já possui letra: CC-004
2026-05-15 17:08:48,153 | INFO | louvores.services.import_service | Já possui letra: CC-005
2026-05-15 17:08:48,154 | INFO | louvores.services.import_service | Já possui letra: CC-006
2026-05-15 17:08:48,155 | INFO | louvores.services.import_service | Já possui letra: CC-007
2026-05-15 17:08:48,156 | INFO | louvores.services.import_service | Já possui letra: CC-008
2026-05-15 17:08:48,157 | INFO | louvores.services.import_service | Já possui letra: CC-009
2026-05-15 17:08:48,158 | INFO | louvores.services.import_service | Já possui letra: CC-010
