codigo;coletanea;numeracao;titulo;creditos
CC;Cantor Cristão;283;Mais perto;Lowell Mason | Sarah Flower Adams
CC;Cantor Cristão;284;Companhia divina
CC;Cantor Cristão;285;O alvo supremo
CC;Cantor Cristão;286;Junto a ti
CC;Cantor Cristão;287;Com Jesus
CC;Cantor Cristão;288;Perto do Senhor
CC;Cantor Cristão;289;Ao pé da cruz
CC;Cantor Cristão;290;Cristo, meu mestre
CC;Cantor Cristão;291;Comunhão celeste
CC;Cantor Cristão;292;Perto de Jesus
CC;Cantor Cristão;293;Desejos espirituais
CC;Cantor Cristão;294;Necessitado
CC;Cantor Cristão;295;Tudo entregarei;Winfield Scott Weeden | Judson W.Van de Venter
CC;Cantor Cristão;296;Consagração
CC;Cantor Cristão;297;Súplica
CC;Cantor Cristão;298;Estou pronto
CC;Cantor Cristão;299;Onde quer que seja
CC;Cantor Cristão;300;Tudo por Cristo
CC;Cantor Cristão;301;Crer e observar;Daniel B.Towner | John H.Sammis
CC;Cantor Cristão;302;Como a neve
CC;Cantor Cristão;303;Amor a Jesus
CC;Cantor Cristão;304;Um vaso de benção;Harper G.Smyth
CC;Cantor Cristão;305;Consagrar tudo
CC;Cantor Cristão;306;O caminho da cruz
CC;Cantor Cristão;307;Reconhecimento
CC;Cantor Cristão;308;Para onde for, irei
CC;Cantor Cristão;309;Consagrando-nos
CC;Cantor Cristão;310;Em teus braços
CC;Cantor Cristão;311;Confiança;Elisha A.Hoffmann | Henry M. Wright
CC;Cantor Cristão;312;Amparo;Philip Bliss
CC;Cantor Cristão;313;Proteção
CC;Cantor Cristão;314;Estou seguro
CC;Cantor Cristão;315;Meu clamor
CC;Cantor Cristão;316;Deus é por mim
CC;Cantor Cristão;317;Abrigo
CC;Cantor Cristão;318;Deus me esconde
CC;Cantor Cristão;319;Abrigo perfeito;Charles Hutchison Gabriel
CC;Cantor Cristão;320;Abrigo feliz
CC;Cantor Cristão;321;Abrigo seguro
CC;Cantor Cristão;322;Cristo valerá;Ada ruth Havershon
CC;Cantor Cristão;323;Castelo forte;Martin Luther
CC;Cantor Cristão;324;Refúgio verdadeiro;J.M.Whyte Manuel A.Souza
CC;Cantor Cristão;325;Naufrágio
CC;Cantor Cristão;326;Refúgio
CC;Cantor Cristão;327;O piloto
CC;Cantor Cristão;328;Sossegai;Horatio Richmond Palmer
CC;Cantor Cristão;329;Conta as bênçãos
CC;Cantor Cristão;330;O segredo do viver
CC;Cantor Cristão;331;Glória no porvir
CC;Cantor Cristão;332;Meu Deus é sabedor
CC;Cantor Cristão;333;Deus é sabedor
CC;Cantor Cristão;334;Alívio
CC;Cantor Cristão;335;O gozo da vida
CC;Cantor Cristão;336;Fonte de consolação
CC;Cantor Cristão;337;Nada de desanimo;Charles H.Gabriel | Civilla D.Martin
CC;Cantor Cristão;338;Redentor
CC;Cantor Cristão;339;Não consintas;Fanny Jane Crosby
CC;Cantor Cristão;340;Importará
CC;Cantor Cristão;341;Socorro divino
CC;Cantor Cristão;342;A minha cruz;Ballington Booth
CC;Cantor Cristão;343;Sempre firme;Ira David Sankey
CC;Cantor Cristão;344;Deus cuidará de ti;Walter Stilman Martin | Civilla Durfee Martin
CC;Cantor Cristão;345;Contar a Jesus
CC;Cantor Cristão;346;Meu Deus proverá
CC;Cantor Cristão;347;O coração em paz;Bentley DF.Ackley
CC;Cantor Cristão;348;Confiando
CC;Cantor Cristão;349;Rica promessa
CC;Cantor Cristão;350;Quero o salvador
CC;Cantor Cristão;351;Direção divina
CC;Cantor Cristão;352;Seguindo a Cristo
CC;Cantor Cristão;353;Sou pecador
CC;Cantor Cristão;354;Cada momento;Daniel Webster Whittle
CC;Cantor Cristão;355;Luz benigna
CC;Cantor Cristão;356;Jesus como guia
CC;Cantor Cristão;357;Guia-me
CC;Cantor Cristão;358;Não há perigo
CC;Cantor Cristão;359;Jesus como guia
CC;Cantor Cristão;360;Companheiro
CC;Cantor Cristão;361;Por mim
CC;Cantor Cristão;362;Nunca sozinho;Henry Maxwell Wright
CC;Cantor Cristão;363;Sê tu meu guia
CC;Cantor Cristão;364;Filhos de Deus
CC;Cantor Cristão;365;Fé persistente
CC;Cantor Cristão;366;Firmeza;William Batchelder Bradbury | Edward Mote
CC;Cantor Cristão;367;Firme na rocha;William James Kirkpatrick | Priscilla Jane Owens
CC;Cantor Cristão;368;Jesus bendito
CC;Cantor Cristão;369;Só Jesus
CC;Cantor Cristão;370;Crendo em Cristo
CC;Cantor Cristão;371;Rocha eterna;Thomas Hastings
CC;Cantor Cristão;372;Salvo estou
CC;Cantor Cristão;373;Certeza
CC;Cantor Cristão;374;Salvo
CC;Cantor Cristão;375;Segurança;Phoebe Palmer Knapp | Fanny Jane Crosby
CC;Cantor Cristão;376;Salvação perfeita
CC;Cantor Cristão;377;Não sei porque;James McGranahan | Daniel Webster Whittle
CC;Cantor Cristão;378;Já certo estou
CC;Cantor Cristão;379;Laços benditos
CC;Cantor Cristão;380;Amor
CC;Cantor Cristão;381;Amor fraternal;Sarah P Kalley | George J.Webb
CC;Cantor Cristão;382;Vamos à igreja
CC;Cantor Cristão;383;Satisfação
CC;Cantor Cristão;384;Que doce voz;C.Austin Miles | Manuel A.Souza
CC;Cantor Cristão;385;Louvor;Manuel Avelino de Souza | Charles H.Gabriel
CC;Cantor Cristão;386;Ah! Se eu tivesse mil vozes;William E.Entzminger | William F.Sherwin
CC;Cantor Cristão;387;Contentamento
CC;Cantor Cristão;388;O homem feliz
CC;Cantor Cristão;389;Ventura
CC;Cantor Cristão;390;Nada falta
CC;Cantor Cristão;391;Estou contente
CC;Cantor Cristão;392;Extraviado
CC;Cantor Cristão;393;Cristo para mim
CC;Cantor Cristão;394;Realidade
CC;Cantor Cristão;395;Cristo satisfaz;William Augustus Ogden
CC;Cantor Cristão;396;Foi na cruz foi na cruz;Ralph E.Hudson
CC;Cantor Cristão;397;Achei descanso
CC;Cantor Cristão;398;Sou feliz;Phillip Paul Bliss | Horation Gates Spafford
CC;Cantor Cristão;399;Cantarei de Cristo
CC;Cantor Cristão;400;Júbilo
CC;Cantor Cristão;401;Eu sou de Jesus;Bentley DeForrest Ackley | James Rowe
CC;Cantor Cristão;402;Escrava resgatada;Robert Lowry
CC;Cantor Cristão;403;Eu alegre vou;Winfield S.Weeden | Judson W.V.Venter
CC;Cantor Cristão;404;Substituição
CC;Cantor Cristão;405;Gozo e paz
CC;Cantor Cristão;406;Confiar em Cristo
CC;Cantor Cristão;407;Ditoso dia;Adapt. Edward F.Rimbault | Philip Doddridge
CC;Cantor Cristão;408;Descanso verdadeiro
CC;Cantor Cristão;409;Plena paz
CC;Cantor Cristão;410;No serviço do meu rei;Bentley DeForrest Ackley | Aifred Henry Ackley
CC;Cantor Cristão;411;Que alegria neste dia
CC;Cantor Cristão;412;A música dos salvos
CC;Cantor Cristão;413;Lealdade
CC;Cantor Cristão;414;Acordai
CC;Cantor Cristão;415;Alerta;Johan Martin Spiess | George Heath
CC;Cantor Cristão;416;Filhos da luz;Sarah P.Kalley
CC;Cantor Cristão;417;Brilha no meio do teu viver;Charles H.Gabriel
CC;Cantor Cristão;418;Disposição de trabalhar
CC;Cantor Cristão;419;Mãos ao trabalho
CC;Cantor Cristão;420;Servir alegremente
CC;Cantor Cristão;421;Conversação cristã
CC;Cantor Cristão;422;Trabalho cristão
CC;Cantor Cristão;423;Oh, buscai
CC;Cantor Cristão;424;Vamos à colheita
CC;Cantor Cristão;425;Luz após trevas
CC;Cantor Cristão;426;Gratidão na luta;Ira David Sankey
CC;Cantor Cristão;427;Conquistar o mundo
CC;Cantor Cristão;428;Luz nas trevas
CC;Cantor Cristão;429;Ceifando
CC;Cantor Cristão;430;Em cada lugar
